epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.06545,1.87496,3.66086,1.65606,0.00585,0.66667,0.04914,0.03106,1.5289,4.01969,1.78453,0.000238167,0.000238167,0.000238167
2,5.85056,1.47579,3.58718,1.47646,0.00585,0.66667,0.04914,0.03106,1.5289,4.01969,1.78453,0.000700353,0.000700353,0.000700353
3,8.43492,1.80222,3.73893,1.66547,0.00585,0.66667,0.04914,0.03106,1.5289,4.01969,1.78453,0.00114368,0.00114368,0.00114368
4,11.1253,1.82947,3.66401,1.69016,0.00512,0.66667,0.14848,0.02456,2.33551,4.61962,2.33271,0.00134412,0.00134412,0.00134412
5,15.9492,1.90156,2.82909,1.55892,0.00512,0.66667,0.14848,0.02456,2.33551,4.61962,2.33271,0.00131582,0.00131582,0.00131582
6,21.4675,1.93058,3.03794,1.52488,0.00512,0.66667,0.14848,0.02456,2.33551,4.61962,2.33271,0.00128753,0.00128753,0.00128753
7,26.3354,1.77575,2.94811,1.5307,0.00512,0.66667,0.14848,0.02456,2.33551,4.61962,2.33271,0.00125923,0.00125923,0.00125923
8,30.4368,1.80099,2.91227,1.55669,0.00678,0.66667,0.25941,0.15309,2.37163,4.03959,2.38453,0.00123094,0.00123094,0.00123094
9,34.6911,1.77582,2.38868,1.38603,0.00678,0.66667,0.25941,0.15309,2.37163,4.03959,2.38453,0.00120265,0.00120265,0.00120265
10,39.3788,1.91791,3.0343,1.56526,0.00678,0.66667,0.25941,0.15309,2.37163,4.03959,2.38453,0.00117435,0.00117435,0.00117435
11,44.0557,1.73479,2.86399,1.51202,0.00522,0.66667,0.25891,0.17585,2.40897,4.60088,3.14753,0.00114606,0.00114606,0.00114606
12,48.9291,1.69201,3.25256,1.53753,0.00522,0.66667,0.25891,0.17585,2.40897,4.60088,3.14753,0.00111776,0.00111776,0.00111776
13,53.2659,1.6574,2.51994,1.48295,0.00522,0.66667,0.25891,0.17585,2.40897,4.60088,3.14753,0.00108947,0.00108947,0.00108947
14,57.3143,1.59945,2.3295,1.39135,0.00522,0.66667,0.25891,0.17585,2.40897,4.60088,3.14753,0.00106118,0.00106118,0.00106118
15,61.3241,1.60739,2.24855,1.57042,0.00517,0.66667,0.06734,0.03855,2.49812,4.59559,3.1816,0.00103288,0.00103288,0.00103288
16,65.5955,1.68767,2.7398,1.54973,0.00517,0.66667,0.06734,0.03855,2.49812,4.59559,3.1816,0.00100459,0.00100459,0.00100459
17,69.3589,1.57728,2.10075,1.46559,0.00517,0.66667,0.06734,0.03855,2.49812,4.59559,3.1816,0.000976293,0.000976293,0.000976293
18,73.5357,1.48663,2.50991,1.48219,0.05933,0.41667,0.26562,0.08936,2.33816,4.58856,2.6478,0.000947999,0.000947999,0.000947999
19,77.6404,1.46616,2.45783,1.50869,0.05933,0.41667,0.26562,0.08936,2.33816,4.58856,2.6478,0.000919704,0.000919704,0.000919704
20,81.7448,1.36545,1.98591,1.37721,0.05933,0.41667,0.26562,0.08936,2.33816,4.58856,2.6478,0.00089141,0.00089141,0.00089141
21,85.4536,1.38115,2.36994,1.31927,0.05933,0.41667,0.26562,0.08936,2.33816,4.58856,2.6478,0.000863116,0.000863116,0.000863116
22,89.313,1.30381,2.24145,1.22644,0.36085,0.41667,0.43113,0.20261,2.19644,4.27608,2.36284,0.000834822,0.000834822,0.000834822
23,92.9893,1.43944,2.01107,1.37757,0.36085,0.41667,0.43113,0.20261,2.19644,4.27608,2.36284,0.000806528,0.000806528,0.000806528
24,96.8284,1.45473,2.74462,1.42411,0.36085,0.41667,0.43113,0.20261,2.19644,4.27608,2.36284,0.000778233,0.000778233,0.000778233
25,100.832,1.28634,2.04812,1.38093,0.6844,0.25,0.41946,0.3009,2.1813,4.14794,2.71261,0.000749939,0.000749939,0.000749939
26,104.699,1.29856,1.98567,1.2813,0.6844,0.25,0.41946,0.3009,2.1813,4.14794,2.71261,0.000721645,0.000721645,0.000721645
27,108.376,1.41467,2.04852,1.27909,0.6844,0.25,0.41946,0.3009,2.1813,4.14794,2.71261,0.000693351,0.000693351,0.000693351
28,112.201,1.33219,1.86228,1.30944,0.6844,0.25,0.41946,0.3009,2.1813,4.14794,2.71261,0.000665057,0.000665057,0.000665057
29,116.082,1.41442,1.88314,1.37393,0.82363,0.25,0.36971,0.22681,1.93291,4.25984,2.66258,0.000636762,0.000636762,0.000636762
30,119.832,1.07317,1.9269,1.23013,0.82363,0.25,0.36971,0.22681,1.93291,4.25984,2.66258,0.000608468,0.000608468,0.000608468
31,123.424,1.2814,1.86006,1.30878,0.82363,0.25,0.36971,0.22681,1.93291,4.25984,2.66258,0.000580174,0.000580174,0.000580174
32,126.078,1.22143,1.79795,1.18691,0.82247,0.25,0.3069,0.21359,2.10319,4.38375,2.44477,0.00055188,0.00055188,0.00055188
33,128.695,1.30027,1.66966,1.27494,0.82247,0.25,0.3069,0.21359,2.10319,4.38375,2.44477,0.000523586,0.000523586,0.000523586
34,131.099,1.25079,1.68937,1.22306,0.82247,0.25,0.3069,0.21359,2.10319,4.38375,2.44477,0.000495291,0.000495291,0.000495291
35,133.449,1.49995,2.29453,1.46918,0.82247,0.25,0.3069,0.21359,2.10319,4.38375,2.44477,0.000466997,0.000466997,0.000466997
36,135.91,1.20656,1.71301,1.30025,0.91693,0.25,0.26357,0.20594,2.1342,4.03295,2.53392,0.000438703,0.000438703,0.000438703
37,138.327,1.33584,1.67753,1.24578,0.91693,0.25,0.26357,0.20594,2.1342,4.03295,2.53392,0.000410409,0.000410409,0.000410409
38,140.712,1.23227,1.74859,1.24902,0.91693,0.25,0.26357,0.20594,2.1342,4.03295,2.53392,0.000382115,0.000382115,0.000382115
39,143.111,1.34575,2.10483,1.35987,0.95199,0.25,0.30074,0.21736,2.14329,3.66213,2.44725,0.00035382,0.00035382,0.00035382
40,145.465,1.26328,1.64523,1.30525,0.95199,0.25,0.30074,0.21736,2.14329,3.66213,2.44725,0.000325526,0.000325526,0.000325526
41,147.808,1.28002,2.05836,1.39218,0.95199,0.25,0.30074,0.21736,2.14329,3.66213,2.44725,0.000297232,0.000297232,0.000297232
