epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.13924,1.87496,3.66086,1.65606,0.00585,0.66667,0.04914,0.03106,1.5289,4.01969,1.78453,0.000238167,0.000238167,0.000238167
2,6.03183,1.47579,3.58718,1.47646,0.00585,0.66667,0.04914,0.03106,1.5289,4.01969,1.78453,0.000700353,0.000700353,0.000700353
3,8.87914,1.80222,3.73893,1.66547,0.00585,0.66667,0.04914,0.03106,1.5289,4.01969,1.78453,0.00114368,0.00114368,0.00114368
4,11.839,1.82947,3.66401,1.69016,0.00512,0.66667,0.14848,0.02456,2.33549,4.61964,2.3327,0.00134412,0.00134412,0.00134412
5,14.4927,1.90156,2.82909,1.55892,0.00512,0.66667,0.14848,0.02456,2.33549,4.61964,2.3327,0.00131582,0.00131582,0.00131582
6,17.0382,1.93058,3.03794,1.52488,0.00512,0.66667,0.14848,0.02456,2.33549,4.61964,2.3327,0.00128753,0.00128753,0.00128753
7,19.6354,1.77575,2.94811,1.5307,0.00512,0.66667,0.14848,0.02456,2.33549,4.61964,2.3327,0.00125923,0.00125923,0.00125923
8,22.2072,1.80099,2.91227,1.55669,0.00678,0.66667,0.25941,0.15309,2.3716,4.03954,2.38453,0.00123094,0.00123094,0.00123094
9,24.7621,1.77582,2.38868,1.38603,0.00678,0.66667,0.25941,0.15309,2.3716,4.03954,2.38453,0.00120265,0.00120265,0.00120265
10,27.2809,1.91791,3.0343,1.56526,0.00678,0.66667,0.25941,0.15309,2.3716,4.03954,2.38453,0.00117435,0.00117435,0.00117435
11,29.9985,1.73479,2.864,1.51202,0.00522,0.66667,0.25891,0.17585,2.40911,4.60034,3.14769,0.00114606,0.00114606,0.00114606
12,32.4683,1.69201,3.25239,1.53752,0.00522,0.66667,0.25891,0.17585,2.40911,4.60034,3.14769,0.00111776,0.00111776,0.00111776
13,35.022,1.6574,2.51996,1.48296,0.00522,0.66667,0.25891,0.17585,2.40911,4.60034,3.14769,0.00108947,0.00108947,0.00108947
14,37.5334,1.59943,2.32949,1.39134,0.00522,0.66667,0.25891,0.17585,2.40911,4.60034,3.14769,0.00106118,0.00106118,0.00106118
15,40.1579,1.60767,2.24849,1.57053,0.00514,0.66667,0.06728,0.03853,2.4954,4.58462,3.17606,0.00103288,0.00103288,0.00103288
16,42.5937,1.68669,2.7406,1.55121,0.00514,0.66667,0.06728,0.03853,2.4954,4.58462,3.17606,0.00100459,0.00100459,0.00100459
17,45.023,1.5775,2.10069,1.46568,0.00514,0.66667,0.06728,0.03853,2.4954,4.58462,3.17606,0.000976293,0.000976293,0.000976293
18,47.5844,1.4861,2.50952,1.48195,0.10431,0.41667,0.2622,0.08929,2.33804,4.56308,2.6821,0.000947999,0.000947999,0.000947999
19,50.1119,1.46285,2.46292,1.50565,0.10431,0.41667,0.2622,0.08929,2.33804,4.56308,2.6821,0.000919704,0.000919704,0.000919704
20,52.6862,1.36571,1.98328,1.37911,0.10431,0.41667,0.2622,0.08929,2.33804,4.56308,2.6821,0.00089141,0.00089141,0.00089141
21,55.1883,1.37915,2.36964,1.32254,0.10431,0.41667,0.2622,0.08929,2.33804,4.56308,2.6821,0.000863116,0.000863116,0.000863116
22,57.7168,1.29383,2.23091,1.22351,0.35773,0.41667,0.43015,0.24471,2.21977,4.30765,2.33829,0.000834822,0.000834822,0.000834822
23,60.2502,1.4312,2.00528,1.37204,0.35773,0.41667,0.43015,0.24471,2.21977,4.30765,2.33829,0.000806528,0.000806528,0.000806528
24,62.7164,1.46848,2.75418,1.43374,0.35773,0.41667,0.43015,0.24471,2.21977,4.30765,2.33829,0.000778233,0.000778233,0.000778233
25,65.2876,1.2855,2.04743,1.37729,0.73408,0.25,0.43167,0.31898,2.24553,4.42643,2.72577,0.000749939,0.000749939,0.000749939
26,67.7209,1.31961,2.00184,1.29108,0.73408,0.25,0.43167,0.31898,2.24553,4.42643,2.72577,0.000721645,0.000721645,0.000721645
27,70.2192,1.40114,2.04672,1.27927,0.73408,0.25,0.43167,0.31898,2.24553,4.42643,2.72577,0.000693351,0.000693351,0.000693351
28,72.7083,1.32068,1.84648,1.29392,0.73408,0.25,0.43167,0.31898,2.24553,4.42643,2.72577,0.000665057,0.000665057,0.000665057
29,75.3875,1.39947,1.86901,1.35163,0.60905,0.25,0.1492,0.09564,2.19688,4.66315,2.84922,0.000636762,0.000636762,0.000636762
30,77.8853,1.08007,1.91313,1.23408,0.60905,0.25,0.1492,0.09564,2.19688,4.66315,2.84922,0.000608468,0.000608468,0.000608468
31,80.3921,1.29001,1.84649,1.31225,0.60905,0.25,0.1492,0.09564,2.19688,4.66315,2.84922,0.000580174,0.000580174,0.000580174
32,82.9417,1.22618,1.80347,1.18512,0.58016,0.25,0.10195,0.06711,2.25637,4.51773,2.62437,0.00055188,0.00055188,0.00055188
33,85.3434,1.31632,1.68745,1.27694,0.58016,0.25,0.10195,0.06711,2.25637,4.51773,2.62437,0.000523586,0.000523586,0.000523586
34,87.799,1.26561,1.68891,1.24136,0.58016,0.25,0.10195,0.06711,2.25637,4.51773,2.62437,0.000495291,0.000495291,0.000495291
35,90.2554,1.4965,2.32516,1.46247,0.58016,0.25,0.10195,0.06711,2.25637,4.51773,2.62437,0.000466997,0.000466997,0.000466997
36,92.8365,1.20942,1.72629,1.29917,0.84386,0.25,0.27211,0.22971,2.24621,4.0191,2.62551,0.000438703,0.000438703,0.000438703
37,95.4034,1.33387,1.6696,1.24285,0.84386,0.25,0.27211,0.22971,2.24621,4.0191,2.62551,0.000410409,0.000410409,0.000410409
38,97.896,1.21001,1.73632,1.2405,0.84386,0.25,0.27211,0.22971,2.24621,4.0191,2.62551,0.000382115,0.000382115,0.000382115
39,100.416,1.36387,2.08657,1.35418,0.93498,0.25,0.28662,0.20357,2.14283,3.67931,2.33819,0.00035382,0.00035382,0.00035382
40,102.891,1.2734,1.65523,1.28339,0.93498,0.25,0.28662,0.20357,2.14283,3.67931,2.33819,0.000325526,0.000325526,0.000325526
41,105.36,1.27907,2.0459,1.37951,0.93498,0.25,0.28662,0.20357,2.14283,3.67931,2.33819,0.000297232,0.000297232,0.000297232
42,107.855,1.27496,2.80054,1.25347,0.93498,0.25,0.28662,0.20357,2.14283,3.67931,2.33819,0.000268938,0.000268938,0.000268938
43,110.322,1.24249,1.91666,1.24974,0.95112,0.25,0.27405,0.20506,2.16825,3.62995,2.29367,0.000240644,0.000240644,0.000240644
44,112.761,1.10075,1.65439,1.14065,0.95112,0.25,0.27405,0.20506,2.16825,3.62995,2.29367,0.000212349,0.000212349,0.000212349
45,115.248,1.18011,1.97568,1.24574,0.95112,0.25,0.27405,0.20506,2.16825,3.62995,2.29367,0.000184055,0.000184055,0.000184055
46,117.765,1.42362,2.29144,1.55094,0.95983,0.25,0.30183,0.21323,2.10908,3.51517,2.30396,0.000155761,0.000155761,0.000155761
47,120.194,1.20617,1.84835,1.18635,0.95983,0.25,0.30183,0.21323,2.10908,3.51517,2.30396,0.000127467,0.000127467,0.000127467
48,122.548,1.20404,1.93369,1.26201,0.95983,0.25,0.30183,0.21323,2.10908,3.51517,2.30396,9.91726e-05,9.91726e-05,9.91726e-05
49,124.949,1.13796,1.81224,1.18858,0.95983,0.25,0.30183,0.21323,2.10908,3.51517,2.30396,7.08784e-05,7.08784e-05,7.08784e-05
